DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-26 13,2.10,NaN,1.45,6.66,2.24,NaN,0.61 
2024-10-26 14,2.09,NaN,1.43,6.63,2.23,NaN,0.60 
2024-10-26 15,2.07,NaN,1.42,6.61,2.22,NaN,0.60 
2024-10-26 16,2.07,NaN,1.41,6.59,2.21,NaN,0.58 
2024-10-26 17,2.06,NaN,1.40,6.57,2.20,NaN,0.58 
2024-10-26 18,2.06,NaN,1.38,6.55,2.18,NaN,0.55 
2024-10-26 19,2.03,NaN,1.37,6.53,2.17,NaN,0.53 
2024-10-26 20,2.03,NaN,1.36,6.51,2.15,NaN,0.52 
2024-10-26 21,2.01,NaN,1.35,6.49,2.13,NaN,0.50 
2024-10-26 22,2.00,NaN,1.34,6.47,2.11,NaN,0.49 
2024-10-26 23,2.00,NaN,1.32,6.45,2.09,NaN,0.48 
2024-10-27 00,1.99,NaN,1.31,6.44,2.08,NaN,0.47 
2024-10-27 01,1.98,NaN,1.30,6.42,2.07,NaN,0.46 
2024-10-27 02,1.98,NaN,1.29,6.42,2.05,NaN,0.45 
2024-10-27 03,1.97,NaN,1.28,6.40,2.04,NaN,0.44 
2024-10-27 04,1.96,NaN,1.27,6.38,2.03,NaN,0.43 
2024-10-27 05,1.95,NaN,1.27,6.37,2.02,NaN,0.42 
2024-10-27 06,1.94,NaN,1.25,6.35,2.01,NaN,0.41 
2024-10-27 07,1.94,NaN,1.24,6.33,1.99,NaN,0.41 
2024-10-27 08,2.04,NaN,1.23,6.32,1.97,NaN,0.43 
2024-10-27 09,2.09,NaN,1.22,6.30,1.96,NaN,0.50 
2024-10-27 10,2.15,NaN,1.21,6.28,1.94,NaN,0.69 
2024-10-27 11,2.19,NaN,1.20,6.26,1.92,NaN,0.92 
2024-10-27 12,2.22,NaN,1.19,6.25,1.91,NaN,1.07 
2024-10-27 13,2.17,NaN,1.18,6.23,1.89,NaN,1.10 
2024-10-27 14,2.10,NaN,1.17,6.21,1.89,NaN,1.05 
2024-10-27 15,2.05,NaN,1.16,6.19,1.88,NaN,0.96 
2024-10-27 16,2.00,NaN,1.16,6.19,1.88,NaN,0.87 
2024-10-27 17,1.96,NaN,1.15,6.16,1.88,NaN,0.78 
2024-10-27 18,1.94,NaN,1.14,6.15,1.88,NaN,0.70 
